Frequency (A),Statistical unit (REG_KCPE),Sex (M),Unit of measure (NUMBER),Breakdown group identifier (_Z),Time period (2015),Observation,Observation Status,Unit Multiplier,Note for Statistical Unit,Note for Reference Sector,Note for Breakdown Group,Note for Dataset,Reference Period Details,Note for Education Level,Time Period Details,Source
Annual,Registered KCPE Candidates,Male,Number,Not Applicable,2015,467904,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Male,Number,Not Applicable,2016,473684,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Male,Number,Not Applicable,2017,498775,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Male,Number,Not Applicable,2018,531434,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Male,Number,Not Applicable,2019,546376,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Male,Number,Not Applicable,2020,596436,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Male,Number,Not Applicable,2021,616296,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Male,Number,Not Applicable,2022,626557,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Male,Number,Not Applicable,2023,726565,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Male,Number,Not Applicable,2024,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Male,Number,Not Applicable,2025,663673,,,,,,KCPE was not done in 2020 but was done in March 2021,,,Provisional value,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Female,Number,Not Applicable,2015,459885,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Female,Number,Not Applicable,2016,478706,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Female,Number,Not Applicable,2017,494943,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Female,Number,Not Applicable,2018,529276,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Female,Number,Not Applicable,2019,542610,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Female,Number,Not Applicable,2020,595180,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Female,Number,Not Applicable,2021,609258,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Female,Number,Not Applicable,2022,617775,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Female,Number,Not Applicable,2023,689462,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Female,Number,Not Applicable,2024,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Female,Number,Not Applicable,2025,633637,,,,,,KCPE was not done in 2020 but was done in March 2021,,,Provisional value,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Total,Number,Not Applicable,2015,927789,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Total,Number,Not Applicable,2016,952390,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Total,Number,Not Applicable,2017,993718,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Total,Number,Not Applicable,2018,1060710,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Total,Number,Not Applicable,2019,1088986,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Total,Number,Not Applicable,2020,1191616,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Total,Number,Not Applicable,2021,1225554,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Total,Number,Not Applicable,2022,1244332,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Total,Number,Not Applicable,2023,1416027,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Total,Number,Not Applicable,2024,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Registered KCPE Candidates,Total,Number,Not Applicable,2025,1297310,,,,,,KCPE was not done in 2020 but was done in March 2021,,,Provisional value,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Male,Number,Not Applicable,2015,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Male,Number,Not Applicable,2016,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Male,Number,Not Applicable,2017,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Male,Number,Not Applicable,2018,529215,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Male,Number,Not Applicable,2019,543582,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Male,Number,Not Applicable,2020,590450,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Male,Number,Not Applicable,2021,610384,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Male,Number,Not Applicable,2022,620693,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Male,Number,Not Applicable,2023,726071,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Male,Number,Not Applicable,2024,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Male,Number,Not Applicable,2025,646610,,,,,,KCPE was not done in 2020 but was done in March 2021,,,Provisional value,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Female,Number,Not Applicable,2015,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Female,Number,Not Applicable,2016,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Female,Number,Not Applicable,2017,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Female,Number,Not Applicable,2018,531495,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Female,Number,Not Applicable,2019,539874,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Female,Number,Not Applicable,2020,588742,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Female,Number,Not Applicable,2021,603647,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Female,Number,Not Applicable,2022,612703,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Female,Number,Not Applicable,2023,689054,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Female,Number,Not Applicable,2024,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Female,Number,Not Applicable,2025,619911,,,,,,KCPE was not done in 2020 but was done in March 2021,,,Provisional value,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Total,Number,Not Applicable,2015,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Total,Number,Not Applicable,2016,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Total,Number,Not Applicable,2017,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Total,Number,Not Applicable,2018,1060710,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Total,Number,Not Applicable,2019,1083456,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Total,Number,Not Applicable,2020,1179192,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Total,Number,Not Applicable,2021,1214031,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Total,Number,Not Applicable,2022,1233396,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Total,Number,Not Applicable,2023,1415125,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Total,Number,Not Applicable,2024,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Total,Number,Not Applicable,2025,1266521,,,,,,KCPE was not done in 2020 but was done in March 2021,,,Provisional value,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Language,2015,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Language,2016,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Language,2017,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Language,2018,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Language,2019,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Language,2020,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Language,2021,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Language,2022,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Language,2023,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Language,2024,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Language,2025,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,Provisional value,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Composition,2015,49.98,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Composition,2016,50.52,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Composition,2017,47.63,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Composition,2018,54.69,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Composition,2019,53.47,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Composition,2020,53.51,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Composition,2021,49.06,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Composition,2022,49.72,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Composition,2023,55,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Composition,2024,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Composition,2025,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,Provisional value,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili,2015,41.38,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili,2016,40.26,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili,2017,39.6,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili,2018,39.39,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili,2019,39.9099999999999,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili,2020,41.56,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
