Frequency (A),Education level (_T),Grade / year of study (_T),Sex (M),Unit of measure (NUMBER),Time period (2015),Observation,Observation Status,Unit Multiplier,Note for Statistical Unit,Note for Reference Sector,Note for Breakdown Group,Note for Dataset,Reference Period Details,Note for Education Level,Time Period Details,Source
Annual,Total or no breakdown by education level,Total,Male,Number,2015,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Male,Number,2016,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Male,Number,2017,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Male,Number,2018,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Male,Number,2019,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Male,Number,2020,5191.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Male,Number,2021,5243.5,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Male,Number,2022,5248.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Male,Number,2023,5277.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Male,Number,2024,5499,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Male,Number,2025,6090,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Female,Number,2015,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Female,Number,2016,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Female,Number,2017,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Female,Number,2018,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Female,Number,2019,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Female,Number,2020,4978.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Female,Number,2021,5041.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Female,Number,2022,5116,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Female,Number,2023,5119.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Female,Number,2024,5234.3,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Female,Number,2025,5845,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Total,Number,2015,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Total,Number,2016,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Total,Number,2017,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Total,Number,2018,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Total,Number,2019,,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Total,Number,2020,10170.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Total,Number,2021,10285.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Total,Number,2022,10364.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Total,Number,2023,10397.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Total,Number,2024,10733.3,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Total or no breakdown by education level,Total,Total,Number,2025,11935.7,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Male,Number,2015,5127.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Male,Number,2016,5219.3,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Male,Number,2017,5293.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Male,Number,2018,5364.3,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Male,Number,2019,5105.8,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Male,Number,2020,5191.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Male,Number,2021,5243.5,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Male,Number,2022,5248.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Male,Number,2023,4621.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Male,Number,2024,4197.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Male,Number,2025,4192,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Female,Number,2015,4962.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Female,Number,2016,5060.3,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Female,Number,2017,5109.8,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Female,Number,2018,5178.3,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Female,Number,2019,4966.3,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Female,Number,2020,4978.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Female,Number,2021,5041.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Female,Number,2022,5116,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Female,Number,2023,4488.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Female,Number,2024,4010.5,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Female,Number,2025,4042,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Total,Number,2015,10090.8,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Total,Number,2016,10279.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Total,Number,2017,10403.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Total,Number,2018,10542.5,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Total,Number,2019,10072,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Total,Number,2020,10170.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Total,Number,2021,10285.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Total,Number,2022,10364.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Total,Number,2023,9109.6,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Total,Number,2024,8208.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Total,Total,Number,2025,8234.6,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Male,Number,2015,702,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Male,Number,2016,696.8,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Male,Number,2017,705.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Male,Number,2018,716.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Male,Number,2019,661,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Male,Number,2020,647,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Male,Number,2021,654.5,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Male,Number,2022,647.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Male,Number,2023,703.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Male,Number,2024,714.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Male,Number,2025,713.8,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Female,Number,2015,659.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Female,Number,2016,655.8,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Female,Number,2017,664.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Female,Number,2018,674.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Female,Number,2019,620.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Female,Number,2020,609.6,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Female,Number,2021,622,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Female,Number,2022,615.6,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Female,Number,2023,683.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Female,Number,2024,687.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Female,Number,2025,694.6,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Total,Number,2015,1361.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Total,Number,2016,1352.6,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Total,Number,2017,1370.3,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Total,Number,2018,1390.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Total,Number,2019,1281.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Total,Number,2020,1256.6,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Total,Number,2021,1276.5,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Total,Number,2022,1263,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Total,Number,2023,1387.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Total,Number,2024,1401.3,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 1,Total,Number,2025,1408.4,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Male,Number,2015,682.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Male,Number,2016,686.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Male,Number,2017,695.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Male,Number,2018,704.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Male,Number,2019,658.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Male,Number,2020,669.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Male,Number,2021,672.5,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Male,Number,2022,666.8,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Male,Number,2023,645.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Male,Number,2024,711.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Male,Number,2025,709.5,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Female,Number,2015,648.3,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Female,Number,2016,650.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Female,Number,2017,655.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Female,Number,2018,663.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Female,Number,2019,618.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Female,Number,2020,623.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Female,Number,2021,635.6,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Female,Number,2022,650.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Female,Number,2023,611.5,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Female,Number,2024,685.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Female,Number,2025,688.6,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Total,Number,2015,1331,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Total,Number,2016,1337.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Total,Number,2017,1350.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Total,Number,2018,1368.8,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Total,Number,2019,1277.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Total,Number,2020,1293,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Total,Number,2021,1308.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Total,Number,2022,1317.5,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Total,Number,2023,1256.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Total,Number,2024,1397,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 2,Total,Number,2025,1398.1,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Male,Number,2015,675.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Male,Number,2016,684.3,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Male,Number,2017,693.3,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Male,Number,2018,702.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Male,Number,2019,637,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Male,Number,2020,655.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Male,Number,2021,675.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Male,Number,2022,667.8,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Male,Number,2023,662.5,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Male,Number,2024,712.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Male,Number,2025,706.7,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Female,Number,2015,641.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Female,Number,2016,653.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Female,Number,2017,652.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Female,Number,2018,661.6,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Female,Number,2019,605.5,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Female,Number,2020,618.3,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Female,Number,2021,643.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Female,Number,2022,648.6,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Female,Number,2023,643.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Female,Number,2024,683.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Female,Number,2025,683.1,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Total,Number,2015,1317.8,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Total,Number,2016,1338.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Total,Number,2017,1346.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Total,Number,2018,1364,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Total,Number,2019,1242.5,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Total,Number,2020,1274,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Total,Number,2021,1318.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Total,Number,2022,1316.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Total,Number,2023,1305.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Total,Number,2024,1395.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 3,Total,Number,2025,1389.8,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Male,Number,2015,683.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Male,Number,2016,693.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Male,Number,2017,694.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Male,Number,2018,703.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Male,Number,2019,665.8,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Male,Number,2020,641.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Male,Number,2021,658.3,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Male,Number,2022,659,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Male,Number,2023,661.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Male,Number,2024,690.6,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Male,Number,2025,710.7,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Female,Number,2015,657.3,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Female,Number,2016,669.3,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Female,Number,2017,665.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Female,Number,2018,674.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Female,Number,2019,635.6,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Female,Number,2020,605.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Female,Number,2021,626.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Female,Number,2022,642.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Female,Number,2023,643.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Female,Number,2024,658.6,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Female,Number,2025,684.5,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Total,Number,2015,1341.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Total,Number,2016,1362.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Total,Number,2017,1359.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Total,Number,2018,1377.8,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Total,Number,2019,1301.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Total,Number,2020,1246.6,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Total,Number,2021,1285.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Total,Number,2022,1301.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Total,Number,2023,1305.3,,Thousands,,,,,,,,Kenya National Bureau of Statistics
